num_segments,video_duration,total_qoe,avg_qoe_per_segment,total_rebuf_time,rebuf_ratio,viewport_hits,viewport_misses,viewport_hit_rate,total_bits_downloaded,total_mb_downloaded,bandwidth_savings,avg_bandwidth_mbps,approach,user_trace_file,network_trace,video_id
70,70.52,-81.55000000000008,-1.1650000000000011,62.25,0.8827283040272264,73,36,0.6697247706422018,2100000000.0,262.5,0.75,3.722348269994328,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,low_2mbps,Diving-2OzlksZBTiA
70,70.52,-64.41250000000005,-0.9201785714285722,96.375,1.366633579126489,109,0,1.0,8400000000.0,1050.0,0.0,14.889393079977312,baseline,Diving-2OzlksZBTiA_0_processed.csv,variable,Diving-2OzlksZBTiA
70,70.52,180.75,2.5821428571428573,1.25,0.017725467952353944,73,36,0.6697247706422018,2100000000.0,262.5,0.75,3.722348269994328,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,variable,Diving-2OzlksZBTiA
77,77.77,-323345.21811562986,-4199.288546956232,75286.09723619297,968.0609134138225,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,Verizon1,Diving-2OzlksZBTiA
77,77.77,-80675.65452890741,-1047.7357731026937,18764.524309048244,241.2822979175549,61,90,0.40397350993377484,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,Verizon1,Diving-2OzlksZBTiA
77,77.77,-210789.09628973555,-2737.5207310355268,49110.25495110124,631.4807117281888,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,Verizon2,Diving-2OzlksZBTiA
77,77.77,-52540.87407243386,-682.3490139277125,12220.56373777531,157.13724749614647,60,91,0.3973509933774834,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,Verizon2,Diving-2OzlksZBTiA
77,77.77,-3326.417232176507,-43.20022379450009,863.1202865526758,11.098370664172249,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,ATT2,Diving-2OzlksZBTiA
77,77.77,-670.9543080441268,-8.713692312261388,158.78007163816898,2.0416622301423297,61,90,0.40397350993377484,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,ATT2,Diving-2OzlksZBTiA
77,77.77,-38798.19182577339,-503.87262111394017,9112.370192040325,117.17076240247302,151,0,1.0,9240000000.0,1155.0,0.0,14.851485148514852,baseline,Diving-2OzlksZBTiA_0_processed.csv,ATT1,Diving-2OzlksZBTiA
77,77.77,-9543.147956443352,-123.93698644731626,2221.0925480100814,28.55976016471752,60,91,0.3973509933774834,2310000000.0,288.75,0.75,3.712871287128713,predictive_with_content,Diving-2OzlksZBTiA_0_processed.csv,ATT1,Diving-2OzlksZBTiA
